Product Name,Product Price,Review
"Boult Z40 Pro with 100H Battery, Quad Mic ENC, Scratch ...",1199,4.1
"truke BTG1 Earbuds with Game Mode, 48H Playtime, Quad M...",749,4.0
"boAt Immortal 171 w/ Beast Mode(40ms Low Latency), 40 H...",999,4.0
"realme Buds Air 6 with 50dB ANC, 12.4mm Bass Driver, Hi...",2799,4.3
"Mivi DuoPods i6 TWS, Engineered for Athletes, IPX 4.0,1...",699,4.3
boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playbac...,799,4.0
"HOPPUP Predator Xo1 Earbuds with 50H Playtime,13MM Driv...",699,4.1
OnePlus Nord Buds 2 True Wireless Earbuds with 25dB Act...,1999,4.3
"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...",899,4.0
"truke Buds F1 Ultra with 60 Hours Playtime, Spatial Aud...",799,4.0
boAt Airdopes 131 with upto 60 hours and ASAP Charge Bl...,699,4.0
"Mivi DuoPods K2 TWS,AI-ENC,40Hr Playtime,13mm Bass,Made...",599,3.9
"boAt Immortal 161 w/ Beast Mode(40ms Low Latency), 40 H...",899,4.0
"Noise Buds VS102 Plus with 70 Hrs Playtime, Environment...",1099,3.9
"TRIGGR Ultrabuds N1 Neo with ENC, 40Hr Playback, 13mm D...",599,4.1
"Mivi DuoPods i6 TWS, Engineered for Athletes, IPX 4.0,1...",699,4.3
"Noise Buds VS102 Neo with 40 Hrs Playtime, Environmenta...",699,4.0
"Noise Buds VS102 Neo with 40 Hrs Playtime, Environmenta...",799,4.0
"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...",899,4.0
"Mivi DuoPods i6 TWS, Engineered for Athletes, IPX 4.0,1...",699,4.3
"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...",799,4.1
"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",799,4.0
"boAt Nirvana Ion 32dB Active Noise Cancellation, 120HRS...",1799,4.1
"CMF by Nothing Buds Pro with 45 dB ANC, Ultra Bass Tech...",2499,4.1
"truke Buds Q1 Lite with Quad-Mic ENC, 48H Playtime, Roy...",599,4.0
